participant_id,target,feature
1,stress_lebal,eeg_faa_full_change_precond_Z
1,stress_lebal,eeg_ab_ratio_full_change_precond_Z
1,stress_lebal,eeg_tb_ratio_full_change_precond_Z
1,stress_lebal,eeg_ta_ratio_full_change_precond_Z
1,stress_lebal,eeg_fl_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_beta_mean_full_change_precond_Z
1,stress_lebal,eeg_fl_sampent_full_change_precond_Z
1,stress_lebal,eeg_fl_specent_full_change_precond_Z
1,stress_lebal,eeg_fr_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fr_specent_full_change_precond_Z
1,stress_lebal,eeg_f_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_f_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_f_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_f_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_f_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_f_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_f_sampent_full_change_precond_Z
1,stress_lebal,eeg_f_specent_full_change_precond_Z
1,stress_lebal,eeg_t_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_t_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_t_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_t_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_t_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_t_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_t_sampent_full_change_precond_Z
1,stress_lebal,eeg_t_specent_full_change_precond_Z
1,stress_lebal,eeg_c_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_c_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_c_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_c_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_c_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_c_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_c_beta_mean_full_change_precond_Z
1,stress_lebal,eeg_c_sampent_full_change_precond_Z
1,stress_lebal,eeg_c_specent_full_change_precond_Z
1,stress_lebal,eeg_p_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_p_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_p_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_p_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_p_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_p_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_p_beta_mean_full_change_precond_Z
1,stress_lebal,eeg_p_specent_full_change_precond_Z
1,stress_lebal,eeg_fm_theta_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_lalpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_halpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_lbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_hbeta_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_alpha_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_beta_mean_full_change_precond_Z
1,stress_lebal,eeg_fm_sampent_full_change_precond_Z
1,stress_lebal,eeg_fm_specent_full_change_precond_Z
1,stress_lebal,hrv_rmssd_full_change_precond_Z
1,stress_lebal,hr_heartrate_bpm_med_abs_full_change_precond_Z
1,stress_lebal,hr_heartrate_bpm_mean_abs_full_change_precond_Z
1,stress_lebal,gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond_Z
1,stress_lebal,gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond_Z
1,stress_lebal,gsr_skin_conductance_eda_pkrate_nk_full_change_precond_Z
1,stress_lebal,gsr_skin_conductance_eda_pkht_mean_nk_full_change_precond_Z
1,stress_lebal,pupil_dilation_mean_full_change_precond_Z
1,stress_lebal,pupil_dilation_med_full_change_precond_Z
1,stress_lebal,pupil_dilation_sd_full_change_precond_Z
1,stress_lebal,pupil_asymmetry_full_change_precond_Z
