feature,term,F,p,eta_sq_part,sig
hrv_rmssd_precond,stress_level,0.21129609870865446,0.6465271710283715,0.001635275746690433,
hrv_rmssd_precond,workload_level,0.3680352746334702,0.5451433504176649,0.002844870248297221,
hrv_rmssd_precond,stress_level:workload_level,0.19665198888528898,0.658179802200779,0.0015221136605165805,
hr_med_precond,stress_level,3.437470423058172,0.06601711845803489,0.025955421921586987,†
hr_med_precond,workload_level,3.2113281822877178,0.07547416355661991,0.02428935724675624,†
hr_med_precond,stress_level:workload_level,0.3084840618977866,0.5795738327571358,0.0023856444079115528,
eda_tonic_mean_precond,stress_level,4.490691821237457,0.03599654848376403,0.03364048653857541,*
eda_tonic_mean_precond,workload_level,0.06876990812247796,0.7935545889025191,5.328160187118215e-4,
eda_tonic_mean_precond,stress_level:workload_level,1.4607321898293602,0.2290244024158363,0.011196719237355606,
eda_pkht_med_precond,stress_level,1.0000000000000062,0.3204027325541139,0.012658227848101342,
eda_pkht_med_precond,workload_level,0.9999999999999982,0.32040273255411583,0.012658227848101245,
eda_pkht_med_precond,stress_level:workload_level,1.0000000000000022,0.3204027325541148,0.012658227848101295,
eeg_fm_theta_power_precond,stress_level,0.2922483480494766,0.5896943606502912,0.002209111657703454,
eeg_fm_theta_power_precond,workload_level,1.4604730726119133,0.2290153290664535,0.010943113260338234,
eeg_fm_theta_power_precond,stress_level:workload_level,0.49242803231757626,0.4840816274381269,0.003716650374898882,
eeg_f_beta_power_precond,stress_level,0.42712414098792284,0.5145403135101059,0.003225352387273676,
eeg_f_beta_power_precond,workload_level,2.101716488729058,0.149505676081707,0.015672554712643835,
eeg_f_beta_power_precond,stress_level:workload_level,0.049046147906733936,0.8250736713259048,3.7142371972757654e-4,
eeg_p_alpha_power_precond,stress_level,0.18226375128118644,0.6701305047177659,0.0013788820535267903,
eeg_p_alpha_power_precond,workload_level,0.22047776982696551,0.6394508401203882,0.0016675009313669193,
eeg_p_alpha_power_precond,stress_level:workload_level,2.234559075230088,0.13734194244180725,0.016646674974197643,
pupil_full_pupil_med_precond,stress_level,0.005837753569766415,0.939220877593549,4.7459158657671074e-5,
pupil_full_pupil_med_precond,workload_level,0.35802156227422427,0.550707308728295,0.0029022965652337894,
pupil_full_pupil_med_precond,stress_level:workload_level,0.6174238701718837,0.43351727202196544,0.004994634662669624,
