"timestamp","test_pid","target","k","final_acc","final_f1","final_auc","inner_best_acc","cost","gamma","feature_n","feature_set","features_used"
2025-11-26 12:58:38.038731,1,"workload_label",30,0.25,0,0.25,0.634615384615385,4,0.0078125,30,"top30","hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_pright_specent_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_tleft_specent_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_fm_sampent_full_change_precond;eeg_fr_sampent_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;eeg_c_sampent_full_change_precond;eeg_faa_full_change_precond;eeg_pright_beta_mean_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;gsr_skin_conductance_eda_peakarea_nk_full_change_precond;pupil_dilation_med_full_change_precond;eeg_tleft_lbeta_mean_full_change_precond;eeg_t_sampent_full_change_precond;eeg_pright_halpha_mean_full_change_precond;eeg_c_theta_mean_full_change_precond;eeg_tb_ratio_full_change_precond;eeg_ab_ratio_full_change_precond;eeg_tleft_theta_mean_full_change_precond;eeg_tright_halpha_mean_full_change_precond"
2025-11-26 12:59:42.834927,1,"workload_label",20,0.25,0,0.5,0.634615384615385,4,0.0078125,20,"top20","hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_pright_specent_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_tleft_specent_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_fm_sampent_full_change_precond;eeg_fr_sampent_full_change_precond;hr_heartrate_bpm_med_abs_full_change_precond;eeg_c_sampent_full_change_precond;eeg_faa_full_change_precond;eeg_pright_beta_mean_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond"
2025-11-26 13:00:40.365365,1,"workload_label",10,0.25,0,0.5,0.634615384615385,8,0.0078125,10,"top10","hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_pright_specent_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_tright_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond"
2025-11-26 13:01:28.026966,1,"workload_label",5,0.5,0.5,0.5,0.634615384615385,2,0.0078125,5,"top5","hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond;eeg_pright_specent_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond"
2025-11-26 13:02:09.763529,1,"workload_label",2,0.5,0.5,0.5,0.647435897435897,4,0.1,2,"top2","hrv_rmssd_full_change_precond;pupil_asymmetry_full_change_precond"
2025-11-26 13:03:26.643543,2,"workload_label",30,0.5,0.5,0.5,0.576923076923077,4,0.0078125,30,"top30","hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_specent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_tleft_specent_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;eeg_tleft_lbeta_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_t_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_c_lbeta_mean_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_sampent_full_change_precond;gsr_skin_conductance_eda_peakarea_nk_full_change_precond;eeg_tleft_lalpha_mean_full_change_precond;eeg_fm_theta_mean_full_change_precond;eeg_faa_full_change_precond;eeg_fl_specent_full_change_precond;eeg_pright_halpha_mean_full_change_precond;eeg_pleft_halpha_mean_full_change_precond;eeg_pright_beta_mean_full_change_precond;eeg_fm_lbeta_mean_full_change_precond;gsr_skin_conductance_eda_tonic_mean_nk_full_change_precond;eeg_tleft_theta_mean_full_change_precond"
2025-11-26 13:04:32.332288,2,"workload_label",20,0.5,0.5,0.75,0.596153846153846,2,0.015625,20,"top20","hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_specent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_tleft_specent_full_change_precond;eeg_tleft_hbeta_mean_full_change_precond;eeg_tleft_lbeta_mean_full_change_precond;eeg_fr_sampent_full_change_precond;eeg_t_sampent_full_change_precond;hr_heartrate_bpm_mean_abs_full_change_precond;eeg_c_lbeta_mean_full_change_precond;pupil_dilation_sd_full_change_precond;eeg_pleft_lbeta_mean_full_change_precond;eeg_c_sampent_full_change_precond;gsr_skin_conductance_eda_peakarea_nk_full_change_precond"
2025-11-26 13:05:29.888339,2,"workload_label",10,0.5,0.5,0.75,0.628205128205128,8,0.0078125,10,"top10","hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_specent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond;eeg_fl_hbeta_mean_full_change_precond;eeg_c_specent_full_change_precond;eeg_tleft_halpha_mean_full_change_precond;eeg_pleft_theta_mean_full_change_precond;eeg_tleft_specent_full_change_precond"
2025-11-26 13:06:19.786427,2,"workload_label",5,0.5,0.5,0.5,0.641025641025641,2,0.015625,5,"top5","hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond;pupil_asymmetry_full_change_precond;eeg_tright_specent_full_change_precond;gsr_skin_conductance_eda_pkrate_nk_full_change_precond"
2025-11-26 13:07:01.890387,2,"workload_label",2,0.5,0.5,0.5,0.621794871794872,8,0.0078125,2,"top2","hrv_rmssd_full_change_precond;gsr_skin_conductance_eda_tonic_sd_nk_full_change_precond"
